condition_str,subj_id,num,type,error,correctmove,latency,omit,oreas,timesincelast,direction,destination,last_distractor_offset,time_since_last_distractor
AD,HY,148.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-1091.0,217.0,0.0,0.0
AD,HY,149.0,0.0,0.0,1.0,827.0,1.0,15.0,1871.0,-2.0,215.0,0.0,0.0
AD,HY,150.0,1.0,0.0,1.0,435.0,0.0,0.0,389.0,-65.0,869.0,719.0,389.0
AD,HY,151.0,0.0,0.0,1.0,301.0,0.0,0.0,135.0,353.0,568.0,0.0,0.0
AD,HY,152.0,0.0,1.0,0.0,331.0,0.0,0.0,900.0,680.0,1248.0,0.0,0.0
AD,HY,153.0,0.0,0.0,1.0,1985.0,1.0,15.0,975.0,-224.0,1024.0,0.0,0.0
AD,HY,154.0,0.0,0.0,-1.0,0.0,1.0,4.0,0.0,-220.0,804.0,0.0,0.0
AD,HY,155.0,1.0,0.0,1.0,535.0,0.0,0.0,415.0,106.0,975.0,65.0,415.0
AD,HY,156.0,0.0,0.0,1.0,274.0,0.0,0.0,256.0,683.0,1487.0,0.0,0.0
AD,HY,157.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,181.0,1668.0,0.0,0.0
AD,HY,158.0,1.0,0.0,1.0,399.0,0.0,0.0,736.0,-356.0,619.0,-693.0,736.0
AD,HY,159.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,-869.0,799.0,0.0,0.0
AD,HY,160.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-571.0,228.0,0.0,0.0
AD,HY,161.0,0.0,0.0,1.0,1009.0,1.0,15.0,1051.0,632.0,860.0,0.0,0.0
AD,HY,162.0,1.0,0.0,1.0,720.0,0.0,0.0,314.0,27.0,646.0,-241.0,314.0
AD,HY,163.0,0.0,0.0,1.0,155.0,0.0,0.0,540.0,402.0,1262.0,0.0,0.0
AD,HY,164.0,1.0,0.0,1.0,691.0,0.0,0.0,685.0,369.0,1015.0,-616.0,685.0
AD,HY,165.0,0.0,0.0,1.0,646.0,0.0,0.0,45.0,-126.0,1136.0,0.0,0.0
AD,HY,166.0,0.0,0.0,1.0,0.0,1.0,13.0,0.0,-927.0,209.0,0.0,0.0
AD,HY,167.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,871.0,1080.0,0.0,0.0
AD,HY,168.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-469.0,611.0,0.0,0.0
AD,HY,169.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-406.0,205.0,0.0,0.0
AD,HY,170.0,0.0,1.0,0.0,356.0,0.0,0.0,770.0,868.0,1073.0,0.0,0.0
AD,HY,171.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,518.0,1591.0,0.0,0.0
AD,HY,172.0,1.0,0.0,1.0,419.0,0.0,0.0,510.0,-135.0,880.0,-576.0,510.0
AD,HY,173.0,0.0,0.0,1.0,359.0,0.0,0.0,60.0,-19.0,1572.0,0.0,0.0
AD,HY,174.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,-589.0,983.0,0.0,0.0
AD,HY,175.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-185.0,798.0,0.0,0.0
AD,HY,176.0,0.0,0.0,1.0,1650.0,1.0,15.0,580.0,642.0,1440.0,0.0,0.0
AD,HY,177.0,0.0,0.0,1.0,1160.0,1.0,15.0,400.0,227.0,1667.0,0.0,0.0
AD,HY,178.0,1.0,0.0,1.0,669.0,0.0,0.0,526.0,-361.0,519.0,-787.0,526.0
AD,HY,179.0,0.0,0.0,1.0,361.0,0.0,0.0,179.0,-990.0,677.0,0.0,0.0
AD,HY,180.0,1.0,0.0,-1.0,0.0,1.0,11.0,0.0,156.0,675.0,0.0,0.0
AD,HY,181.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,-483.0,194.0,0.0,0.0
