subj_id,latency,condition_str
CH,335.0,ND
CH,284.0,SD
CH,365.0,AD
CH,240.0,ND
CH,326.0,SD
CH,305.0,AD
CH,255.0,ND
CH,260.0,SD
CH,249.0,AD
CH,246.0,ND
CH,280.0,SD
CH,257.0,AD
CH,216.0,ND
CH,260.0,SD
CH,246.0,AD
CH,220.0,ND
CH,315.0,SD
CH,326.0,AD
CH,235.0,ND
CH,225.0,SD
CH,265.0,AD
CH,204.0,ND
CH,255.0,SD
CH,349.0,AD
CH,240.0,ND
CH,290.0,SD
CH,319.0,AD
CH,275.0,ND
CH,315.0,SD
CH,246.0,AD
CH,244.0,ND
CH,270.0,SD
CH,325.0,AD
CH,255.0,ND
CH,260.0,SD
CH,385.0,AD
CH,361.0,ND
CH,275.0,SD
CH,345.0,AD
CH,214.0,ND
CH,295.0,SD
CH,295.0,AD
CH,325.0,ND
CH,285.0,SD
CH,261.0,AD
CH,239.0,ND
CH,256.0,SD
CH,325.0,AD
CH,304.0,ND
CH,220.0,SD
CH,320.0,AD
CH,241.0,ND
CH,446.0,SD
CH,274.0,AD
CH,235.0,ND
CH,246.0,SD
CH,265.0,AD
CH,280.0,ND
CH,275.0,SD
CH,410.0,AD
CH,249.0,ND
CH,280.0,SD
CH,350.0,AD
CH,336.0,ND
CH,285.0,SD
CH,345.0,AD
CH,261.0,ND
CH,315.0,SD
CH,145.0,AD
CH,236.0,ND
CH,265.0,SD
CH,235.0,AD
CH,232.0,ND
CH,284.0,SD
CH,231.0,AD
CH,236.0,ND
CH,300.0,SD
CH,395.0,AD
CH,320.0,ND
CH,335.0,SD
CH,279.0,AD
CH,229.0,ND
CH,270.0,SD
CH,330.0,AD
CH,241.0,ND
CH,239.0,SD
CH,274.0,AD
CH,335.0,ND
CH,326.0,SD
CH,306.0,AD
CH,255.0,ND
CH,280.0,SD
CH,310.0,AD
CH,220.0,ND
CH,225.0,SD
CH,305.0,AD
CH,235.0,ND
CH,255.0,SD
CH,296.0,AD
CH,204.0,ND
CH,130.0,SD
CH,416.0,AD
CH,251.0,ND
CH,290.0,SD
CH,225.0,AD
CH,240.0,ND
CH,315.0,SD
CH,356.0,AD
CH,255.0,ND
CH,245.0,SD
CH,365.0,AD
CH,300.0,ND
CH,335.0,SD
CH,305.0,AD
CH,264.0,ND
CH,270.0,SD
CH,249.0,AD
CH,255.0,ND
CH,275.0,SD
CH,246.0,AD
CH,361.0,ND
CH,295.0,SD
CH,326.0,AD
CH,239.0,ND
CH,260.0,SD
CH,270.0,AD
JS,261.0,ND
JS,299.0,SD
JS,486.0,AD
JS,220.0,ND
JS,496.0,SD
JS,320.0,AD
JS,326.0,ND
JS,450.0,SD
JS,290.0,AD
JS,261.0,ND
JS,311.0,SD
JS,406.0,AD
JS,236.0,ND
JS,311.0,SD
JS,344.0,AD
JS,260.0,ND
JS,355.0,SD
JS,350.0,AD
JS,230.0,ND
JS,400.0,SD
JS,325.0,AD
JS,195.0,ND
JS,365.0,SD
JS,365.0,AD
JS,210.0,ND
JS,340.0,SD
JS,309.0,AD
JS,249.0,ND
JS,324.0,SD
JS,330.0,AD
JS,260.0,ND
JS,306.0,SD
JS,276.0,AD
JS,326.0,ND
JS,420.0,SD
JS,596.0,AD
JS,301.0,ND
JS,380.0,SD
JS,330.0,AD
JS,219.0,ND
JS,475.0,SD
JS,152.0,AD
JS,240.0,ND
JS,364.0,SD
JS,256.0,AD
JS,236.0,ND
JS,385.0,SD
JS,345.0,AD
JS,295.0,ND
JS,401.0,SD
JS,210.0,AD
JS,275.0,ND
JS,385.0,SD
JS,120.0,AD
JS,235.0,ND
JS,334.0,SD
JS,285.0,AD
JS,275.0,ND
JS,267.0,SD
JS,380.0,AD
JS,279.0,ND
JS,410.0,SD
JS,486.0,AD
JS,311.0,ND
JS,294.0,SD
JS,380.0,AD
JS,239.0,ND
JS,295.0,SD
JS,415.0,AD
JS,235.0,ND
JS,301.0,SD
JS,361.0,AD
JS,275.0,ND
JS,270.0,SD
JS,279.0,AD
JS,261.0,ND
JS,285.0,SD
JS,281.0,AD
JS,205.0,ND
JS,371.0,SD
JS,375.0,AD
JS,265.0,ND
JS,311.0,SD
JS,290.0,AD
JS,321.0,ND
JS,365.0,SD
JS,350.0,AD
JS,220.0,ND
JS,340.0,SD
JS,325.0,AD
JS,220.0,ND
JS,324.0,SD
JS,309.0,AD
JS,214.0,ND
JS,336.0,SD
JS,330.0,AD
JS,220.0,ND
JS,420.0,SD
JS,356.0,AD
JS,326.0,ND
JS,380.0,SD
JS,135.0,AD
JS,261.0,ND
JS,475.0,SD
JS,596.0,AD
LK_,291.0,ND
LK_,372.0,SD
LK_,310.0,AD
LK_,309.0,ND
LK_,391.0,SD
LK_,235.0,AD
LK_,276.0,ND
LK_,351.0,SD
LK_,345.0,AD
LK_,259.0,ND
LK_,345.0,SD
LK_,641.0,AD
LK_,280.0,ND
LK_,339.0,SD
LK_,366.0,AD
LK_,295.0,ND
LK_,325.0,SD
LK_,310.0,AD
LK_,331.0,ND
LK_,434.0,SD
LK_,375.0,AD
LK_,280.0,ND
LK_,256.0,SD
LK_,381.0,AD
LK_,274.0,ND
LK_,366.0,SD
